,3-Putt_Avoidance_-_Inside_5_RANK THIS WEEK,3-Putt_Avoidance_-_Inside_5_RANK LAST WEEK,3-Putt_Avoidance_-_Inside_5_PLAYER NAME,3-Putt_Avoidance_-_Inside_5_ROUNDS,3-Putt_Avoidance_-_Inside_5_%,3-Putt_Avoidance_-_Inside_5_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Inside_5_ATTEMPTS,3-Putt_Avoidance_-_Inside_5_2 PUTT OR BETTER %
61,T1,T1,Jim Herman,37,0.0,,120,10.0
62,T1,T1,Kramer Hickok,59,0.0,,148,10.0
63,T1,T1,Tom Hoge,70,0.0,,187,10.0
64,T1,T1,Max Homa,61,0.0,,182,10.0
65,T1,T1,Billy Horschel,73,0.0,,172,10.0
66,T1,T1,Beau Hossler,66,0.0,,197,10.0
67,T1,T1,Charles Howell III,64,0.0,,163,10.0
68,T1,T1,Mackenzie Hughes,58,0.0,,201,10.0
69,T1,T1,Freddie Jacobson,37,0.0,,110,10.0
70,T1,T1,Stephan Jaeger,59,0.0,,180,10.0
71,T1,T1,Dustin Johnson,47,0.0,,148,10.0
72,T1,T1,Matt Jones,67,0.0,,183,10.0
73,T1,T1,Whee Kim,57,0.0,,112,10.0
74,T1,T1,Si Woo Kim,65,0.0,,200,10.0
75,T1,T1,Michael Kim,51,0.0,,126,10.0
76,T1,T1,Chris Kirk,47,0.0,,139,10.0
77,T1,T1,Kevin Kisner,65,0.0,,156,10.0
78,T1,T1,Patton Kizzire,58,0.0,,153,10.0
79,T1,T1,Russell Knox,65,0.0,,185,10.0
80,T1,T1,Brooks Koepka,49,0.0,,119,10.0
81,T1,T1,Kelly Kraft,67,0.0,,174,10.0
82,T1,T1,Andrew Landry,56,0.0,,173,10.0
83,T1,T1,Scott Langley,60,0.0,,220,10.0
84,T1,T1,Nate Lashley,44,0.0,,103,10.0
85,T1,T1,Hank Lebioda,55,0.0,,153,10.0
86,T1,T1,Danny Lee,66,0.0,,216,10.0
87,T1,T1,Kyoung-Hoon Lee,72,0.0,,177,10.0
88,T1,T1,Marc Leishman,52,0.0,,153,10.0
89,T1,T1,Haotong Li,32,0.0,,79,10.0
90,T1,999,Shane Lowry,30,0.0,,83,10.0
91,T1,T1,Curtis Luck,51,0.0,,125,10.0
92,T1,T1,Hunter Mahan,45,0.0,,121,10.0
93,T1,T1,Peter Malnati,64,0.0,,237,10.0
94,T1,T1,Hideki Matsuyama,59,0.0,,188,10.0
95,T1,T1,Graeme McDowell,61,0.0,,154,10.0
96,T1,T1,Phil Mickelson,41,0.0,,130,10.0
97,T1,T1,Keith Mitchell,64,0.0,,152,10.0
98,T1,T1,Francesco Molinari,41,0.0,,109,10.0
99,T1,T1,Ryan Moore,54,0.0,,168,10.0
100,T1,T1,Sebastián Muñoz,58,0.0,,152,10.0
101,T1,T1,Kevin Na,54,0.0,,127,10.0
102,T1,T1,Alex Noren,49,0.0,,143,10.0
103,T1,T1,Louis Oosthuizen,43,0.0,,100,10.0
104,T1,T1,Carlos Ortiz,60,0.0,,167,10.0
105,T1,T1,Ryan Palmer,56,0.0,,143,10.0
106,T1,T1,Rod Pampling,40,0.0,,100,10.0
107,T1,T1,C.T. Pan,64,0.0,,171,10.0
108,T1,T1,Scott Piercy,70,0.0,,184,10.0
109,T1,999,Martin Piller,30,0.0,,59,10.0
110,T1,T1,D.A. Points,33,0.0,,71,10.0
111,T1,T1,J.T. Poston,76,0.0,,270,10.0
112,T1,T1,"Ted Potter, Jr.",56,0.0,,169,10.0
113,T1,T1,Ian Poulter,49,0.0,,116,10.0
114,T1,T1,Seamus Power,58,0.0,,186,10.0
115,T1,T1,Andrew Putnam,57,0.0,,152,10.0
116,T1,T1,Jon Rahm,51,0.0,,135,10.0
117,T1,T1,Wes Roach,45,0.0,,109,10.0
118,T1,T1,Patrick Rodgers,44,0.0,,134,10.0
119,T1,T1,José de Jesús Rodríguez,51,0.0,,167,10.0
120,T1,T1,Justin Rose,42,0.0,,105,10.0
121,T1,T1,Sam Ryder,52,0.0,,150,10.0
122,T1,T1,Rory Sabbatini,71,0.0,,232,10.0
123,T1,T1,Sam Saunders,53,0.0,,208,10.0
124,T1,T1,Adam Schenk,80,0.0,,232,10.0
125,T1,T1,Ollie Schniederjans,63,0.0,,201,10.0
126,T1,T1,Charl Schwartzel,34,0.0,,67,10.0
127,T1,T1,Adam Scott,41,0.0,,101,10.0
128,T1,T1,John Senden,39,0.0,,78,10.0
129,T1,T1,Ben Silverman,54,0.0,,155,10.0
130,T1,T1,Webb Simpson,53,0.0,,187,10.0
131,T1,T1,Roger Sloan,62,0.0,,206,10.0
132,T1,T1,Cameron Smith,55,0.0,,155,10.0
133,T1,T1,Brandt Snedeker,68,0.0,,208,10.0
134,T1,T1,J.J. Spaun,68,0.0,,177,10.0
135,T1,T1,Scott Stallings,63,0.0,,208,10.0
136,T1,T1,Kyle Stanley,53,0.0,,116,10.0
137,T1,T1,Brendan Steele,50,0.0,,145,10.0
138,T1,T1,Shawn Stefani,57,0.0,,128,10.0
139,T1,T1,Robert Streb,60,0.0,,175,10.0
140,T1,T1,Kevin Streelman,63,0.0,,215,10.0
141,T1,T1,Chris Stroud,54,0.0,,168,10.0
142,T1,T1,Brian Stuard,76,0.0,,240,10.0
143,T1,T1,Adam Svensson,51,0.0,,138,10.0
144,T1,T1,Hudson Swafford,59,0.0,,159,10.0
145,T1,T1,Vaughn Taylor,69,0.0,,241,10.0
146,T1,T1,Nick Taylor,70,0.0,,250,10.0
147,T1,T1,Josh Teater,47,0.0,,110,10.0
148,T1,T1,Justin Thomas,49,0.0,,136,10.0
149,T1,T1,Chris Thompson,34,0.0,,85,10.0
150,T1,T1,Martin Trainer,51,0.0,,185,10.0
151,T1,T1,Cameron Tringale,52,0.0,,144,10.0
152,T1,T1,Kevin Tway,62,0.0,,190,10.0
153,T1,T1,Peter Uihlein,65,0.0,,177,10.0
154,T1,999,Tyrone Van Aswegen,30,0.0,,81,10.0
155,T1,T1,Harold Varner III,62,0.0,,195,10.0
156,T1,T1,Jhonattan Vegas,60,0.0,,165,10.0
157,T1,T1,Johnson Wagner,45,0.0,,109,10.0
158,T1,T1,Jimmy Walker,61,0.0,,211,10.0
159,T1,T1,Matt Wallace,31,0.0,,103,10.0
160,T1,T1,Nick Watney,67,0.0,,189,10.0
161,T1,T1,Bubba Watson,47,0.0,,144,10.0
162,T1,T1,Richy Werenski,63,0.0,,192,10.0
163,T1,T1,Aaron Wise,52,0.0,,136,10.0
164,T1,T1,Tiger Woods,31,0.0,,82,10.0
165,166,164,Sungjae Im,88,0.37,1.0,272,9.96
166,167,165,Bud Cauley,61,0.38,1.0,260,9.96
167,168,166,Jason Kokrak,68,0.46,1.0,218,9.95
168,169,167,Michael Thompson,56,0.47,1.0,214,9.95
169,T170,168,Lucas Glover,62,0.48,1.0,208,9.95
170,T170,T169,Trey Mullinax,67,0.48,1.0,208,9.95
171,172,173,Joaquin Niemann,68,0.49,1.0,205,9.95
172,173,T169,Sung Kang,67,0.5,1.0,201,9.95
173,174,T171,Ryan Armour,66,0.51,1.0,197,9.94
174,175,T171,Bill Haas,58,0.52,1.0,193,9.94
175,T176,T179,Zach Johnson,50,0.56,1.0,180,9.94
176,T176,T179,Matt Kuchar,65,0.56,1.0,179,9.94
177,T176,T174,Anirban Lahiri,54,0.56,1.0,179,9.94
178,T176,T174,Chez Reavie,67,0.56,1.0,177,9.94
179,T176,T174,Jordan Spieth,57,0.56,1.0,178,9.94
180,T181,178,Martin Laird,60,0.58,1.0,172,9.94
181,T181,177,Luke List,52,0.58,1.0,172,9.94
182,T183,T179,Adam Long,52,0.62,1.0,162,9.93
183,T183,T179,Gary Woodland,63,0.62,1.0,162,9.93
184,185,183,Patrick Reed,53,0.63,1.0,160,9.93
185,T186,184,Martin Kaymer,38,0.65,1.0,154,9.93
186,T186,189,Danny Willett,47,0.65,1.0,153,9.93
187,T188,192,Jim Knous,55,0.68,1.0,146,9.93
188,T188,T190,Rory McIlroy,50,0.68,1.0,147,9.93
189,T188,185,Seth Reeves,52,0.68,1.0,147,9.93
190,191,T186,Kyle Jones,49,0.7,1.0,143,9.93
191,192,T190,Chase Wright,53,0.71,1.0,141,9.92
192,T193,T186,Troy Merritt,42,0.74,1.0,136,9.92
193,T193,T186,Xander Schauffele,55,0.74,1.0,136,9.92
194,195,T193,Alex Prugh,54,0.82,1.0,122,9.91
195,196,195,Henrik Stenson,46,0.83,1.0,121,9.91
196,197,T193,Pat Perez,52,0.88,1.0,114,9.91
197,T198,198,Brady Schnell,38,0.93,1.0,108,9.9
198,T198,199,Sepp Straka,48,0.93,1.0,108,9.9
199,T200,T196,John Huh,35,0.97,1.0,103,9.9
200,T200,T196,Grayson Murray,36,0.97,1.0,103,9.9
201,202,201,Joey Garber,44,1.03,1.0,97,9.89
202,203,202,Sangmoon Bae,42,1.11,1.0,90,9.88
203,204,200,Denny McCarthy,63,1.17,2.0,171,9.88
204,205,205,Lucas Bjerregaard,37,1.45,1.0,69,9.85
205,206,203,Satoshi Kodaira,51,1.49,2.0,134,9.85
206,207,204,Charley Hoffman,58,1.53,2.0,131,9.84
207,208,206,J.B. Holmes,54,1.61,2.0,124,9.83
208,209,207,D.J. Trahan,33,1.64,1.0,61,9.83
