,Last_5_Events_-_Power_RANK THIS WEEK,Last_5_Events_-_Power_RANK LAST WEEK,Last_5_Events_-_Power_PLAYER NAME,Last_5_Events_-_Power_EVENTS,Last_5_Events_-_Power_RATING
118,T117,T113,Tyrrell Hatton,3,6.7
119,T117,T165,Sungjae Im,2,6.7
120,T121,T138,Dominic Bozzelli,2,6.6
121,T121,T118,Billy Horschel,4,6.6
122,T121,T124,Martin Laird,4,6.6
123,T121,T118,Dru Love,1,6.6
124,T121,T118,Jamie Lovemark,1,6.6
125,T121,T113,Scott Piercy,3,6.6
126,T121,T118,Kevin Streelman,4,6.6
127,T121,T118,Braden Thornberry,1,6.6
128,T129,T124,Jazz Janewattananond,1,6.5
129,T129,T124,Kevin Kisner,2,6.5
130,T129,T124,Chris Stroud,1,6.5
131,T132,T132,Emiliano Grillo,4,6.4
132,T132,T132,Kramer Hickok,2,6.4
133,T132,T132,Matt Jones,3,6.4
134,T132,T147,Hank Lebioda,3,6.4
135,T132,T132,Adam Long,3,6.4
136,T132,,Chris Thompson,1,6.4
137,T138,T124,Brian Harman,3,6.3
138,T138,T234,Robert Streb,1,6.3
139,T140,T138,Julián Etulain,1,6.2
140,T140,T138,Bill Haas,3,6.2
141,T140,T138,Kyoung-Hoon Lee,3,6.2
142,T140,T138,Jake McLeod,1,6.2
143,T140,T138,Troy Merritt,3,6.2
144,T140,,Collin Morikawa,1,6.2
145,T140,T113,Wes Roach,2,6.2
146,T140,T124,J.J. Spaun,3,6.2
147,T140,T138,Jordan Spieth,5,6.2
148,T140,T169,Nick Taylor,2,6.2
149,T150,T118,Bud Cauley,3,6.1
150,T150,T147,Ian Poulter,2,6.1
151,T150,T147,Cameron Smith,1,6.1
152,T153,T152,Dawson Armstrong,1,6.0
153,T153,T136,Jonas Blixt,3,6.0
154,T153,T136,Stephan Jaeger,2,6.0
155,T153,T152,Anirban Lahiri,2,6.0
156,T153,T152,Francesco Molinari,2,6.0
157,T153,T138,Cameron Tringale,3,6.0
158,T159,T156,Joel Dahmen,3,5.9
159,T159,T156,Jason Dufner,3,5.9
160,T159,T156,Lucas Glover,3,5.9
161,T159,T156,Martin Kaymer,2,5.9
162,T159,T152,Matt Kuchar,3,5.9
163,T159,T156,J.T. Poston,2,5.9
164,T159,T156,Ryan Vermeer,1,5.9
165,T159,T175,Richy Werenski,1,5.9
166,T167,T169,Joey Garber,2,5.8
167,T167,T162,Doug Ghim,2,5.8
168,T167,T124,Adam Hadwin,4,5.8
169,T167,T162,Justin Harding,2,5.8
170,T171,T138,Talor Gooch,3,5.7
171,T171,T165,Curtis Luck,1,5.7
172,T173,T167,Kiradech Aphibarnrat,3,5.6
173,T173,T162,Tyler Duncan,2,5.6
174,T173,T167,Patton Kizzire,1,5.6
175,T176,T169,Brice Garnett,2,5.5
176,T176,T169,Andrew Landry,1,5.5
177,T176,T169,Thorbjørn Olesen,2,5.5
178,T179,T175,Jason Gore,1,5.4
179,T179,T209,Nicholas Lindheim,1,5.4
180,T179,T175,Sam Ryder,2,5.4
181,T182,T178,Zack Fischer,1,5.3
182,T182,T178,Padraig Harrington,1,5.3
183,T182,,Jake Knapp,1,5.3
184,T182,T181,Ben Silverman,3,5.3
185,T186,T181,Kevin Na,3,5.2
186,T186,T178,Josh Teater,2,5.2
187,T186,T181,Michael Thompson,2,5.2
188,T186,T181,Chase Wright,1,5.2
189,T190,T186,Joost Luiten,4,5.1
190,T190,T186,C.T. Pan,3,5.1
191,T192,T232,Scott Brown,2,5.0
192,T192,T189,Rafa Cabrera Bello,4,5.0
193,T192,T189,Steve Marino,1,5.0
194,T192,T189,Rory Sabbatini,4,5.0
195,T196,T194,Abraham Ancer,4,4.9
196,T196,T194,Brett Drewitt,1,4.9
197,T196,T189,Zach Johnson,3,4.9
198,T196,T194,Davis Love III,1,4.9
199,T196,T194,Shaun Norris,1,4.9
200,T196,T194,"Ted Potter, Jr.",3,4.9
201,T196,T186,Webb Simpson,4,4.9
202,T196,T194,Vijay Singh,1,4.9
203,T196,T194,Adam Svensson,1,4.9
204,T196,T194,Boo Weekley,2,4.9
205,T206,T202,Bronson Burgoon,1,4.8
206,T206,T202,Austin Cook,2,4.8
207,T206,T202,Shugo Imahira,2,4.8
208,T206,T202,Tae Hee Lee,1,4.8
209,T206,T202,Ben Martin,1,4.8
210,T206,T189,Denny McCarthy,1,4.8
211,T206,T202,Shubhankar Sharma,2,4.8
212,T206,T202,Kyle Stanley,1,4.8
213,T214,T209,Roberto Díaz,3,4.7
214,T214,T209,Matthew Fitzpatrick,4,4.7
215,T214,T209,James Hahn,2,4.7
216,T214,T209,J.J. Henry,2,4.7
217,T214,T209,David Lipsky,3,4.7
218,T214,T169,José de Jesús Rodríguez,2,4.7
219,T220,T215,Tom Hoge,3,4.6
220,T220,T215,Richard Lee,1,4.6
221,T220,T215,Jonathan Randolph,2,4.6
222,T223,T218,Aaron Baddeley,3,4.5
223,T223,T218,Russell Knox,3,4.5
224,T223,T218,Nate Lashley,3,4.5
225,T223,T218,Pat Perez,4,4.5
226,T223,T218,Tyrone Van Aswegen,1,4.5
227,T228,T223,Marty Jertson,1,4.4
228,T228,T223,Chris Kirk,1,4.4
229,T230,T225,Alexander Björk,1,4.3
230,T230,T225,Daniel Chopra,1,4.3
231,T230,T225,Fred Couples,1,4.3
232,T230,T237,Graeme McDowell,4,4.3
233,T230,T225,Brady Schnell,1,4.3
234,T230,T229,Brandt Snedeker,4,4.3
235,T236,T229,David Lingmerth,2,4.2
236,T236,T229,Shawn Stefani,2,4.2
237,238,T242,Kelly Kraft,2,4.1
238,T239,T181,Jonathan Byrd,2,4.0
239,T239,T234,Retief Goosen,1,4.0
240,T239,T234,Matthew Short,1,4.0
241,T242,T237,Alex Cejka,1,3.9
242,T242,T237,Fabián Gómez,2,3.9
243,T242,T237,Yuki Inamori,1,3.9
244,T242,T237,Satoshi Kodaira,2,3.9
245,T242,,Rod Pampling,1,3.9
246,247,T242,Richard Sterne,1,3.8
247,T248,T242,Russell Henley,1,3.6
248,T248,245,Kyle Jones,1,3.6
249,T250,T246,John Catlin,2,3.5
250,T250,T246,Vaughn Taylor,4,3.5
251,T252,T250,Ryan Blaum,1,3.4
252,T252,,Roberto Castro,1,3.4
253,T252,,George McNeill,1,3.4
254,T252,T250,Andrew Putnam,3,3.4
255,T252,T250,Chez Reavie,3,3.4
256,T257,T246,Ben Crane,2,3.3
257,T257,T253,John Huh,2,3.3
258,T257,T253,Jerry Kelly,1,3.3
259,T260,T253,Henrik Stenson,5,3.2
260,T260,256,Brian Stuard,4,3.2
261,262,257,Eddie Pepperell,2,3.1
262,T263,T258,Tim Herron,2,3.0
263,T263,T258,Morgan Hoffmann,3,3.0
264,T263,T258,Rob Labritz,1,3.0
265,T266,T262,Aaron Rai,1,2.8
266,T266,T262,Steve Stricker,2,2.8
267,T266,T246,Johnson Wagner,1,2.8
268,T269,261,Brian Gay,3,2.7
269,T269,264,D.A. Points,1,2.7
270,T271,T265,Ryan Moore,4,2.6
271,T271,T265,John Senden,1,2.6
272,T273,T269,Jim Furyk,3,2.5
273,T273,267,Adrian Otaegui,1,2.5
274,275,268,Rich Beem,1,2.4
275,T276,T269,Stuart Appleby,2,2.3
276,T276,T269,K.J. Choi,3,2.3
277,T276,T269,Luke Donald,2,2.3
278,T276,T269,Parker McLachlin,1,2.3
279,T276,T269,Tim Wilkinson,1,2.3
280,281,275,David Toms,1,2.0
281,T282,T278,Scott Langley,2,1.9
282,T282,T276,Dylan Meyer,1,1.9
283,T282,T276,Mike Weir,1,1.9
284,285,T278,Brendon Todd,1,1.8
285,T286,T281,Ryan Armour,1,1.5
286,T286,T281,John Rollins,1,1.5
287,T288,T278,Colt Knost,2,1.4
288,T288,283,Matthew Millar,1,1.4
289,290,284,Brendon de Jonge,1,1.3
