,Last_5_Events_-_Accuracy_RANK THIS WEEK,Last_5_Events_-_Accuracy_RANK LAST WEEK,Last_5_Events_-_Accuracy_PLAYER NAME,Last_5_Events_-_Accuracy_EVENTS,Last_5_Events_-_Accuracy_RATING
62,T62,T61,Matt Every,2,7.4
63,T62,T98,Talor Gooch,3,7.4
64,T62,T61,Branden Grace,2,7.4
65,T62,T61,Nate Lashley,3,7.4
66,T62,T114,Ryan Palmer,3,7.4
67,T62,T61,Andrew Putnam,3,7.4
68,T62,T61,Xander Schauffele,3,7.4
69,T62,T48,Webb Simpson,4,7.4
70,T62,T61,Shawn Stefani,2,7.4
71,T62,T61,Tiger Woods,2,7.4
72,T73,T70,Alexander Björk,1,7.3
73,T73,T70,Rickie Fowler,3,7.3
74,T73,T70,Sergio Garcia,1,7.3
75,T73,T70,Emiliano Grillo,4,7.3
76,T73,T70,Adam Hadwin,4,7.3
77,T73,T70,Charley Hoffman,3,7.3
78,T73,T70,Tom Hoge,3,7.3
79,T73,T98,Dustin Johnson,3,7.3
80,T73,T70,Joost Luiten,4,7.3
81,T73,T70,C.T. Pan,3,7.3
82,T73,T70,J.T. Poston,2,7.3
83,T73,T70,Chez Reavie,3,7.3
84,T73,T70,Doc Redman,1,7.3
85,T73,T70,John Senden,1,7.3
86,T73,T141,Ben Silverman,3,7.3
87,T73,T70,Vijay Singh,1,7.3
88,T73,T70,Gary Woodland,2,7.3
89,T90,T87,Abraham Ancer,4,7.2
90,T90,T87,Austin Cook,2,7.2
91,T90,T87,Jason Day,2,7.2
92,T90,T48,Tyler Duncan,2,7.2
93,T90,T87,Brice Garnett,2,7.2
94,T90,T87,Charles Howell III,1,7.2
95,T90,T254,Mackenzie Hughes,2,7.2
96,T90,T87,Jazz Janewattananond,1,7.2
97,T90,T87,Zach Johnson,3,7.2
98,T90,T87,Davis Love III,1,7.2
99,T90,T70,Peter Malnati,3,7.2
100,T90,T87,Thorbjørn Olesen,2,7.2
101,T90,T87,Alex Prugh,1,7.2
102,T90,T141,Nick Taylor,2,7.2
103,T90,T87,David Toms,1,7.2
104,T105,,Sangmoon Bae,1,7.1
105,T105,T98,Hayden Buckley,1,7.1
106,T105,T98,Bud Cauley,3,7.1
107,T105,T98,Alex Cejka,1,7.1
108,T105,T98,Zack Fischer,1,7.1
109,T105,T98,Lucas Glover,3,7.1
110,T105,T98,Billy Horschel,4,7.1
111,T105,T98,Sam Horsfield,1,7.1
112,T105,T98,Rikuya Hoshino,1,7.1
113,T105,T98,Kevin Kisner,2,7.1
114,T105,T61,Colt Knost,2,7.1
115,T105,T98,Keith Mitchell,3,7.1
116,T105,T98,Sean O'Hair,2,7.1
117,T105,T98,Eddie Pepperell,2,7.1
118,T105,T98,Ian Poulter,2,7.1
119,T105,T98,Scottie Scheffler,3,7.1
120,T105,T152,Cameron Tringale,3,7.1
121,T105,T217,Harold Varner III,2,7.1
122,T123,T114,Lucas Bjerregaard,1,7.0
123,T123,T114,Corey Conners,3,7.0
124,T123,T131,Ben Crane,2,7.0
125,T123,T114,Roberto Díaz,3,7.0
126,T123,T114,Luke Donald,2,7.0
127,T123,T114,Matt Jones,3,7.0
128,T123,T114,Andrew Landry,1,7.0
129,T123,T114,Haotong Li,3,7.0
130,T123,T114,Michael Lorenzo-Vera,1,7.0
131,T123,T114,Tyler McCumber,1,7.0
132,T123,T152,Seamus Power,1,7.0
133,T123,T114,Justin Rose,4,7.0
134,T123,T114,Adam Schenk,3,7.0
135,T123,T114,Adam Scott,3,7.0
136,T123,T114,Brendan Steele,3,7.0
137,T123,T114,Brendon Todd,1,7.0
138,T123,T131,Johnson Wagner,1,7.0
139,T140,T131,Matthew Fitzpatrick,4,6.9
140,T140,T131,Tommy Fleetwood,2,6.9
141,T140,T131,Max Homa,4,6.9
142,T140,T131,Jason Kokrak,4,6.9
143,T140,T131,Pat Perez,4,6.9
144,T140,T131,Zack Sucher,2,6.9
145,T140,T163,Justin Thomas,2,6.9
146,T140,T131,Matthew Wolff,1,6.9
147,T148,,Roberto Castro,1,6.8
148,T148,T141,K.J. Choi,3,6.8
149,T148,T141,Cameron Davis,1,6.8
150,T148,T163,Graeme McDowell,4,6.8
151,T148,T141,Matthew Millar,1,6.8
152,T148,T141,Rory Sabbatini,4,6.8
153,T148,T141,Brady Schnell,1,6.8
154,T148,T141,Shubhankar Sharma,2,6.8
155,T148,T263,Robert Streb,1,6.8
156,T148,T152,Kevin Tway,4,6.8
157,T148,T141,Jimmy Walker,4,6.8
158,T148,T141,Chase Wright,1,6.8
159,T160,T152,Kiradech Aphibarnrat,3,6.7
160,T160,T131,Jonas Blixt,3,6.7
161,T160,T152,Retief Goosen,1,6.7
162,T160,T152,J.J. Henry,2,6.7
163,T160,T183,Stephan Jaeger,2,6.7
164,T160,T152,Anirban Lahiri,2,6.7
165,T160,T238,Scott Langley,2,6.7
166,T160,T152,Patrick Reed,2,6.7
167,T160,T152,Scott Stallings,1,6.7
168,T160,T152,Jhonattan Vegas,2,6.7
169,T160,T152,Tim Wilkinson,1,6.7
170,T171,T183,Daniel Berger,5,6.6
171,T171,T197,Jonathan Byrd,2,6.6
172,T171,T163,Derek Ernst,2,6.6
173,T171,T217,Dylan Frittelli,3,6.6
174,T171,T183,Joey Garber,2,6.6
175,T171,T163,Robert Garrigus,1,6.6
176,T171,T183,Cody Gribble,3,6.6
177,T171,T163,Kurt Kitayama,1,6.6
178,T171,T163,Kyoung-Hoon Lee,3,6.6
179,T171,T141,Trey Mullinax,2,6.6
180,T171,T163,Davis Riley,1,6.6
181,T171,T163,Patrick Rodgers,3,6.6
182,T171,T173,Sam Saunders,1,6.6
183,T171,T163,Adam Svensson,1,6.6
184,T185,T173,Sam Burns,2,6.5
185,T185,T173,Bryson DeChambeau,1,6.5
186,T185,T114,Brian Gay,3,6.5
187,T185,T173,James Hahn,2,6.5
188,T185,T173,Brandon Harkins,3,6.5
189,T185,T173,Luke List,3,6.5
190,T185,T173,Ben Martin,1,6.5
191,T185,T183,Sebastián Muñoz,3,6.5
192,T185,T173,Louis Oosthuizen,2,6.5
193,T185,T173,Thomas Pieters,2,6.5
194,T185,T173,D.A. Points,1,6.5
195,T185,,Chris Thompson,1,6.5
196,T185,T163,Danny Willett,3,6.5
197,T198,T183,Rafa Cabrera Bello,4,6.4
198,T198,T183,George Coetzee,1,6.4
199,T198,T183,Martin Flores,1,6.4
200,T198,T183,Bill Haas,3,6.4
201,T198,T183,Justin Harding,2,6.4
202,T198,T183,Adam Long,3,6.4
203,T198,T183,"Ted Potter, Jr.",3,6.4
204,T198,T183,Sam Ryder,2,6.4
205,T198,T32,Josh Teater,2,6.4
206,T198,,D.J. Trahan,1,6.4
207,T208,T197,Byeong Hun An,2,6.3
208,T208,T197,Stuart Appleby,2,6.3
209,T208,T197,Cameron Champ,2,6.3
210,T208,T197,Fabián Gómez,2,6.3
211,T208,T197,Jason Gore,1,6.3
212,T208,T197,Martin Kaymer,2,6.3
213,T208,T197,Chris Kirk,1,6.3
214,T208,T208,Martin Laird,4,6.3
215,T208,T197,Dru Love,1,6.3
216,T208,,George McNeill,1,6.3
217,T208,T217,Brandt Snedeker,4,6.3
218,T208,T197,J.J. Spaun,3,6.3
219,T208,T197,Chris Stroud,1,6.3
220,T221,T217,Harris English,4,6.2
221,T221,T208,Richard Lee,1,6.2
222,T221,T208,Adrian Otaegui,1,6.2
223,T221,T208,Cameron Smith,1,6.2
224,T221,T208,Jordan Spieth,5,6.2
225,T221,T208,Steve Stricker,2,6.2
226,T221,T217,Peter Uihlein,3,6.2
227,T228,T217,Morgan Hoffmann,3,6.1
228,T228,T217,Beau Hossler,4,6.1
229,T228,T217,Kyle Jones,1,6.1
230,T228,T254,Danny Lee,3,6.1
231,T228,T217,Hunter Mahan,1,6.1
232,T228,T217,Jake McLeod,1,6.1
233,T228,T271,José de Jesús Rodríguez,2,6.1
234,T228,T246,Ollie Schniederjans,2,6.1
235,T228,T217,Lee Westwood,1,6.1
236,T228,T217,Norman Xiong,2,6.1
237,T238,T229,Dawson Armstrong,1,6.0
238,T238,T229,Tony Finau,3,6.0
239,T238,T229,Ryan Fox,1,6.0
240,T238,T229,John Huh,2,6.0
241,T238,T229,Patton Kizzire,1,6.0
242,T238,T238,Jim Knous,3,6.0
243,T238,T229,Parker McLachlin,1,6.0
244,T238,T229,Maverick McNealy,2,6.0
245,T238,T208,Alex Noren,5,6.0
246,T238,T229,Henrik Norlander,2,6.0
247,T248,T238,Brendon de Jonge,1,5.9
248,T248,T238,Si Woo Kim,1,5.9
249,T248,T238,Marc Leishman,2,5.9
250,T248,T238,Jamie Lovemark,1,5.9
251,T248,T238,Aaron Rai,1,5.9
252,T248,T238,Mike Weir,1,5.9
253,T248,T208,Richy Werenski,1,5.9
254,T255,,Richard Jung,1,5.8
255,T255,T246,Rob Labritz,1,5.8
256,T255,T246,Chad Ramey,1,5.8
257,T255,T246,Jonathan Randolph,2,5.8
258,T255,T271,Wes Roach,2,5.8
259,T255,T246,Kristoffer Ventura,1,5.8
260,T261,T251,John Catlin,2,5.7
261,T261,T251,Lucas Herbert,1,5.7
262,T261,T251,Lee Hodges,1,5.7
263,T261,,Rod Pampling,1,5.7
264,T265,T254,Matthew Short,1,5.6
265,T265,T254,Matt Wallace,2,5.6
266,T267,T258,Garrett Barber,1,5.5
267,T267,T258,Ryan Blaum,1,5.5
268,T267,T229,Roger Sloan,2,5.5
269,T267,T258,Richard Sterne,1,5.5
270,T271,T263,Rich Beem,1,5.4
271,T271,T263,Julián Etulain,1,5.4
272,T271,276,Kelly Kraft,2,5.4
273,T271,T263,Tae Hee Lee,1,5.4
274,T275,T267,Aaron Baddeley,3,5.3
275,T275,T267,Chesson Hadley,1,5.3
276,T275,T267,Satoshi Kodaira,2,5.3
277,T275,T267,Tom Lewis,1,5.3
278,T279,T271,Dominic Bozzelli,2,5.2
279,T279,T278,Sungjae Im,2,5.2
280,T279,T271,Marty Jertson,1,5.2
281,T279,,Jake Knapp,1,5.2
282,T279,T271,John Rollins,1,5.2
283,284,277,Curtis Luck,1,5.0
284,285,T278,Phil Mickelson,1,4.9
285,T286,T280,Tim Herron,2,4.8
286,T286,T258,Bubba Watson,1,4.8
287,T288,T282,Shaun Norris,1,4.7
288,T288,T282,Ryan Vermeer,1,4.7
289,290,285,Daniel Chopra,1,4.2
