,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
118,T118,142,Danny Willett,15,48.2,105,218,+1.52
119,T120,T138,Jonas Blixt,20,48.3,126,261,+2.38
120,T120,T104,Peter Malnati,19,48.3,160,331,+0.75
121,T122,99,Roberto Castro,16,48.4,91,188,+0.77
122,T122,T119,Chris Kirk,17,48.4,91,188,+1.54
123,T122,T100,Aaron Wise,16,48.4,89,184,+1.69
124,T125,T121,J.J. Henry,15,48.6,70,144,+1.00
125,T125,T138,Sungjae Im,26,48.6,160,329,+1.44
126,T127,T104,Brian Gay,22,48.7,115,236,+1.65
127,T127,147,Jim Herman,16,48.7,57,117,+3.51
128,129,T125,Matt Jones,19,48.9,111,227,-0.27
129,130,T90,Cameron Tringale,15,49.0,100,204,+0.20
130,131,T128,C.T. Pan,19,49.1,107,218,+1.50
131,T132,T119,Anders Albertson,18,49.2,94,191,+2.02
132,T132,T131,Trey Mullinax,20,49.2,174,354,+1.61
133,134,T131,Jordan Spieth,16,49.3,135,274,+0.67
134,135,T112,Ollie Schniederjans,22,49.4,158,320,+0.70
135,136,T134,Paul Casey,15,49.6,64,129,+1.09
136,T137,T157,Jonathan Byrd,13,49.7,82,165,+0.24
137,T137,T128,Joey Garber,15,49.7,71,143,+2.82
138,T137,137,Russell Henley,18,49.7,95,191,+1.79
139,T140,T138,Sung Kang,20,49.8,139,279,+0.94
140,T140,T138,Kevin Streelman,20,49.8,116,233,+1.12
141,T142,T143,Bud Cauley,19,50.0,131,262,+1.45
142,T142,T164,Tyler Duncan,22,50.0,101,202,+2.28
143,144,145,Danny Lee,20,50.1,169,337,+2.19
144,T145,133,Julián Etulain,17,50.2,119,237,+1.85
145,T145,T143,Rickie Fowler,14,50.2,120,239,+1.58
146,147,118,Hank Lebioda,16,50.3,97,193,+3.20
147,148,146,Matthew Fitzpatrick,11,50.4,63,125,+1.11
148,T149,167,Dustin Johnson,12,50.5,98,194,+0.10
149,T149,T123,Peter Uihlein,22,50.5,145,287,+1.66
150,T151,T148,Jason Dufner,19,50.8,94,185,+2.23
151,T151,T155,Stephan Jaeger,19,50.8,124,244,+2.10
152,T151,T148,Francesco Molinari,10,50.8,60,118,+3.17
153,154,150,Cameron Champ,19,50.9,146,287,+1.37
154,T155,T168,Cameron Davis,18,51.6,111,215,-0.18
155,T155,T152,Adam Long,19,51.6,114,221,+1.93
156,157,999,Shane Lowry,10,51.7,61,118,+1.64
157,158,154,Patrick Reed,15,52.2,109,209,+0.37
158,T159,T157,Adam Scott,12,52.5,73,139,E
159,T159,T157,Cameron Smith,16,52.5,104,198,+1.63
160,161,T152,Martin Trainer,19,52.6,141,268,+1.56
161,T162,T161,Haotong Li,9,52.7,59,112,+3.22
162,T162,T161,Brian Stuard,22,52.7,118,224,+1.27
163,T164,T164,Ryan Blaum,21,52.8,142,269,+2.39
164,T164,T164,Jason Day,14,52.8,67,127,+1.04
165,T166,172,Alex Cejka,16,52.9,64,121,+1.09
166,T166,171,Seamus Power,21,52.9,128,242,+3.05
167,168,T168,Patton Kizzire,18,53.2,107,201,+2.06
168,T169,T155,Jim Knous,17,53.3,121,227,+1.07
169,T169,170,Gary Woodland,17,53.3,112,210,+2.41
170,171,T180,Adam Svensson,18,53.4,101,189,+0.50
171,T172,T161,Graeme McDowell,16,53.6,111,207,+1.53
172,T172,999,Martin Piller,10,53.6,52,97,+2.50
173,T174,T157,Keegan Bradley,18,53.8,107,199,+2.15
174,T174,T173,Justin Harding,9,53.8,21,39,+3.33
175,T174,T173,Kevin Kisner,17,53.8,99,184,+1.92
176,177,T173,Henrik Stenson,12,53.9,69,128,+2.32
177,178,T176,Matt Kuchar,16,54.0,109,202,+0.92
178,179,T176,Brendan Steele,17,54.1,100,185,+2.90
179,T180,T190,Kelly Kraft,23,54.2,141,260,+2.62
180,T180,178,Jon Rahm,14,54.2,90,166,+0.78
181,182,193,Ben Crane,13,54.3,76,140,+2.63
182,183,179,Richy Werenski,20,54.4,147,270,+1.77
183,T184,T180,Aaron Baddeley,15,55.0,127,231,+1.57
184,T184,T180,Patrick Rodgers,14,55.0,122,222,+0.82
185,T186,184,Jason Kokrak,17,55.1,151,274,+2.05
186,T186,T180,Carlos Ortiz,21,55.1,141,256,+1.84
187,188,T185,Phil Mickelson,13,55.2,112,203,+2.05
188,189,187,"Ted Potter, Jr.",18,55.3,126,228,+1.98
189,190,189,Cody Gribble,18,55.4,133,240,+2.48
190,191,188,Austin Cook,17,55.6,85,153,+3.18
191,192,999,Tyrone Van Aswegen,11,56.1,69,123,+1.88
192,193,T185,Bubba Watson,13,56.3,108,192,+1.11
193,194,T190,Billy Horschel,19,56.4,133,236,+1.50
194,195,195,Zach Johnson,15,56.9,116,204,+1.90
195,196,194,Vaughn Taylor,21,57.0,146,256,+1.64
196,197,192,Brian Harman,22,57.1,124,217,+1.94
197,198,196,Louis Oosthuizen,12,57.3,67,117,+2.69
198,T199,T197,Luke List,16,57.5,149,259,+1.68
199,T199,T197,Xander Schauffele,15,57.5,107,186,+1.03
200,201,199,Keith Mitchell,19,57.9,117,202,+2.05
201,202,200,Tiger Woods,8,58.1,54,93,+1.11
202,203,201,Michael Thompson,17,58.2,124,213,+1.85
203,204,T202,J.B. Holmes,18,58.4,108,185,+1.11
204,205,T202,Chase Wright,19,58.6,112,191,+1.43
205,206,T202,Kyoung-Hoon Lee,22,58.9,132,224,+1.59
206,207,205,Chesson Hadley,20,59.4,151,254,+2.38
207,208,207,Robert Streb,21,61.6,146,237,+1.71
208,209,206,Matt Every,12,61.9,73,118,+3.01
