,Driving_Pct._320_All_Drives_RANK THIS WEEK,Driving_Pct._320_All_Drives_RANK LAST WEEK,Driving_Pct._320_All_Drives_PLAYER NAME,Driving_Pct._320_All_Drives_ROUNDS,Driving_Pct._320_All_Drives_%,Driving_Pct._320_All_Drives_TOTAL DRIVES FOR 320+,Driving_Pct._320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._320_All_Drives_RELATIVE TO PAR
30,31,31,Peter Uihlein,65,15.89,95,598,-0.221
31,32,34,Rickie Fowler,54,15.71,99,630,-0.354
32,33,33,Cameron Davis,54,15.7,81,516,-0.148
33,34,32,Brandon Harkins,67,15.4,105,682,-0.181
34,35,35,Marc Leishman,52,15.38,76,494,-0.250
35,36,36,Haotong Li,32,15.0,42,280,-0.310
36,T37,37,Sergio Garcia,39,14.69,57,388,-0.316
37,T37,38,Charles Howell III,64,14.69,89,606,-0.247
38,39,40,Patrick Reed,53,14.42,75,520,-0.133
39,40,41,Brendan Steele,50,14.34,74,516,-0.203
40,41,39,Harold Varner III,62,14.23,103,724,-0.262
41,42,42,Danny Lee,66,13.97,107,766,-0.290
42,43,43,Branden Grace,62,13.73,67,488,-0.358
43,44,46,Nick Watney,67,13.49,92,682,-0.326
44,45,999,Shane Lowry,30,13.27,39,294,-0.077
45,46,55,Alex Noren,49,13.2,61,462,-0.098
46,47,45,Justin Rose,42,13.05,53,406,-0.340
47,48,52,Jimmy Walker,61,13.04,84,644,-0.202
48,49,47,Max Homa,61,12.99,87,670,-0.333
49,50,44,Alex Prugh,54,12.95,65,502,-0.400
50,51,48,Tyrrell Hatton,46,12.92,54,418,-0.241
51,52,51,Patrick Rodgers,44,12.83,68,530,-0.338
52,53,53,Patton Kizzire,58,12.74,66,518,-0.106
53,54,54,Matt Wallace,31,12.66,39,308,-0.333
54,55,49,Joaquin Niemann,68,12.57,91,724,-0.220
55,56,50,Keegan Bradley,65,12.34,78,632,-0.256
56,57,57,Francesco Molinari,41,12.23,45,368,-0.156
57,58,58,Seamus Power,58,11.73,72,614,-0.236
58,59,56,Ryan Palmer,56,11.72,64,546,-0.422
59,60,60,Tommy Fleetwood,43,11.54,42,364,-0.238
60,61,61,Jason Kokrak,68,11.52,85,738,-0.247
61,62,64,Sepp Straka,48,11.49,51,444,-0.333
62,63,62,Hideki Matsuyama,59,11.46,69,602,-0.290
63,64,63,Louis Oosthuizen,43,11.45,38,332,-0.158
64,65,65,Ian Poulter,49,11.32,48,424,-0.271
65,66,67,Troy Merritt,42,10.94,51,466,-0.157
66,67,66,Carlos Ortiz,60,10.75,72,670,-0.292
67,68,68,Emiliano Grillo,65,10.63,61,574,-0.230
68,69,69,Stewart Cink,33,10.62,31,292,-0.323
69,70,70,Cameron Smith,55,10.61,49,462,-0.449
70,71,59,D.J. Trahan,33,10.53,28,266,-0.107
71,72,71,Jim Knous,55,10.08,52,516,-0.250
72,73,72,Sam Saunders,53,9.69,62,640,-0.290
73,74,73,Jordan Spieth,57,9.68,61,630,-0.262
74,T75,74,Beau Hossler,66,9.55,68,712,-0.147
75,T75,76,Adam Schenk,80,9.55,80,838,-0.250
76,77,77,Matt Jones,67,9.27,58,626,-0.259
77,78,75,Scott Piercy,70,9.09,64,704,-0.297
78,79,79,Harris English,72,9.03,73,808,-0.151
79,80,96,Cody Gribble,52,8.96,50,558,-0.260
80,81,85,Martin Laird,60,8.75,60,686,-0.400
81,82,82,Billy Horschel,73,8.68,55,634,-0.145
82,83,83,Lucas Glover,62,8.67,64,738,-0.344
83,84,78,Mackenzie Hughes,58,8.66,53,612,-0.321
84,85,90,Danny Willett,47,8.52,45,528,-0.089
85,86,86,Scott Stallings,63,8.5,58,682,-0.276
86,87,81,Adam Hadwin,66,8.41,54,642,-0.407
87,88,87,Matthew Fitzpatrick,42,8.37,34,406,-0.176
88,89,89,Sungjae Im,88,8.33,79,948,-0.367
89,90,88,Chase Wright,53,8.27,45,544,-0.200
90,91,91,Sam Ryder,52,8.24,46,558,-0.457
91,92,92,Chesson Hadley,58,8.22,48,584,-0.250
92,93,80,Matt Kuchar,65,8.14,55,676,-0.255
93,94,84,Dylan Frittelli,55,8.01,49,612,-0.408
94,95,T94,Sung Kang,67,7.99,59,738,-0.305
95,96,93,Josh Teater,47,7.83,34,434,-0.235
96,97,98,Dominic Bozzelli,53,7.79,36,462,-0.278
97,98,99,Abraham Ancer,69,7.73,53,686,-0.226
98,99,97,Stephan Jaeger,59,7.69,44,572,-0.159
99,100,102,Hunter Mahan,45,7.61,35,460,-0.200
100,101,103,James Hahn,34,7.56,18,238,-0.389
101,102,107,Sebastián Muñoz,58,7.53,42,558,-0.286
102,103,100,Wes Roach,45,7.39,30,406,-0.333
103,104,105,Kiradech Aphibarnrat,49,7.36,34,462,-0.176
104,105,104,Daniel Berger,48,7.32,42,574,-0.143
105,106,101,Brice Garnett,63,7.29,42,576,-0.119
106,107,T94,Webb Simpson,53,7.28,46,632,-0.174
107,108,106,Rafa Cabrera Bello,57,7.2,36,500,-0.278
108,109,T109,Roger Sloan,62,7.04,47,668,-0.213
109,110,108,Charley Hoffman,58,7.0,34,486,-0.382
110,111,112,Kyle Stanley,53,6.68,29,434,-0.172
111,112,113,Adam Long,52,6.66,41,616,-0.244
112,113,T109,Sangmoon Bae,42,6.63,24,362,-0.083
113,114,115,Adam Scott,41,6.55,22,336,-0.273
114,T115,114,Corey Conners,62,6.48,39,602,-0.410
115,T115,116,Andrew Landry,56,6.48,39,602,-0.051
116,117,111,Hudson Swafford,59,6.4,42,656,-0.190
117,118,118,Charl Schwartzel,34,6.25,13,208,-0.154
118,119,119,Si Woo Kim,65,6.23,34,546,-0.294
119,120,117,Denny McCarthy,63,6.12,40,654,-0.325
120,121,120,Matt Every,38,6.0,21,350,E
121,T122,129,John Chin,38,5.84,18,308,-0.167
122,T122,122,Julián Etulain,55,5.84,30,514,-0.333
123,124,123,Andrew Putnam,57,5.71,29,508,-0.310
124,125,124,Bronson Burgoon,37,5.67,23,406,+0.217
125,126,125,Kramer Hickok,59,5.61,32,570,-0.344
126,127,126,Cameron Tringale,52,5.49,26,474,-0.192
127,128,T130,Nick Taylor,70,5.47,45,822,-0.333
128,129,T134,Peter Malnati,64,5.42,40,738,-0.275
129,T130,T127,Kevin Na,54,5.41,25,462,-0.320
130,T130,T127,Kevin Streelman,63,5.41,40,740,-0.225
131,132,T130,Hank Lebioda,55,5.35,29,542,-0.276
132,133,133,Satoshi Kodaira,51,5.31,26,490,-0.038
133,134,121,Henrik Stenson,46,5.3,25,472,+0.040
134,135,T134,Michael Kim,51,5.28,26,492,-0.269
135,136,136,J.T. Poston,76,5.26,47,894,-0.128
136,137,T137,Tiger Woods,31,5.1,15,294,E
137,138,132,Adam Svensson,51,5.04,26,516,-0.385
138,139,T137,Brian Harman,67,4.97,34,684,-0.176
139,140,141,Jason Dufner,56,4.96,27,544,-0.185
140,141,142,Rory Sabbatini,71,4.92,37,752,-0.189
141,142,999,Tyrone Van Aswegen,30,4.89,13,266,-0.231
142,143,145,Joel Dahmen,78,4.87,38,780,-0.263
143,144,T147,Kevin Kisner,65,4.85,29,598,-0.207
144,145,139,Talor Gooch,37,4.84,21,434,-0.333
145,146,153,J.J. Spaun,68,4.81,31,644,-0.355
146,147,140,Richy Werenski,63,4.78,34,712,-0.353
147,148,152,"Ted Potter, Jr.",56,4.64,28,604,E
148,T149,T143,Scott Brown,66,4.63,31,670,-0.258
149,T149,149,Tom Hoge,70,4.63,31,670,+0.032
150,151,146,Shawn Stefani,57,4.61,25,542,-0.200
151,152,155,Bud Cauley,61,4.59,34,740,-0.324
152,153,154,Russell Knox,65,4.55,31,682,-0.226
153,154,T157,Bill Haas,58,4.53,29,640,-0.448
154,T155,T147,Fabián Gómez,44,4.52,19,420,E
155,T155,T143,Jim Herman,37,4.52,17,376,-0.118
156,T157,151,Anders Albertson,48,4.41,21,476,E
157,T157,T157,Martin Kaymer,38,4.41,21,476,-0.286
158,159,156,Tyler Duncan,66,4.36,28,642,+0.036
159,160,150,Brandt Snedeker,68,4.32,29,672,-0.172
160,161,160,Chris Stroud,54,4.14,23,556,-0.130
161,162,159,José de Jesús Rodríguez,51,4.1,20,488,-0.400
162,163,161,Jonas Blixt,66,4.01,29,724,-0.172
163,164,162,Chris Thompson,34,3.9,12,308,-0.333
164,165,164,Anirban Lahiri,54,3.78,21,556,-0.143
165,166,165,Aaron Baddeley,51,3.76,20,532,+0.100
166,167,166,Kyoung-Hoon Lee,72,3.73,24,643,-0.208
167,168,163,Austin Cook,50,3.7,18,486,-0.111
168,169,167,C.T. Pan,64,3.6,21,584,E
169,170,180,Joey Garber,44,3.59,13,362,-0.231
170,171,168,Chez Reavie,67,3.58,20,558,-0.150
171,172,170,Russell Henley,56,3.51,21,598,-0.476
172,173,172,John Huh,35,3.44,13,378,-0.077
173,174,174,Graeme McDowell,61,3.42,19,556,E
174,175,175,Ryan Blaum,67,3.39,25,738,-0.080
175,T176,T176,Freddie Jacobson,37,3.29,11,334,-0.636
176,T176,T176,John Senden,39,3.29,11,334,-0.273
177,178,179,Rod Pampling,40,3.19,12,376,-0.250
178,179,173,J.J. Henry,42,3.17,12,378,-0.667
179,180,171,Zach Johnson,50,3.16,18,570,+0.167
180,181,178,Kyle Jones,49,3.07,15,488,-0.200
181,182,181,Michael Thompson,56,2.87,20,698,-0.300
182,183,183,Kelly Kraft,67,2.75,18,654,-0.111
183,184,184,Vaughn Taylor,69,2.72,22,808,-0.455
184,185,182,Johnson Wagner,45,2.68,12,448,-0.167
185,186,185,Robert Streb,60,2.61,16,614,-0.375
186,187,187,Curtis Luck,51,2.48,11,444,-0.182
187,188,186,Brady Schnell,38,2.47,9,364,-0.222
188,189,189,Roberto Díaz,51,2.4,11,458,E
189,190,191,Ben Silverman,54,2.39,14,586,-0.143
190,191,192,Justin Harding,31,2.38,4,168,-0.250
191,192,188,Roberto Castro,54,2.34,13,556,-0.462
192,193,190,Nate Lashley,44,2.3,10,434,-0.400
193,194,194,Chris Kirk,47,2.25,11,488,-0.273
194,195,193,David Hearn,41,2.1,7,334,-0.143
195,196,195,Whee Kim,57,2.07,9,434,-0.444
196,197,196,Ryan Moore,54,2.0,12,600,-0.417
197,198,197,Brian Gay,79,1.61,13,808,-0.385
198,199,198,Ben Crane,41,1.59,6,378,-0.500
199,200,199,Pat Perez,52,1.48,6,406,-0.167
200,201,200,Brian Stuard,76,1.44,11,766,-0.182
201,202,201,Ernie Els,43,1.37,5,364,-0.200
202,203,203,Alex Cejka,41,1.07,4,374,+0.250
203,204,205,Scott Langley,60,1.04,7,670,E
204,205,204,Ryan Armour,66,1.03,7,682,-0.286
205,206,202,Jonathan Byrd,43,1.02,4,392,-0.250
206,207,999,Martin Piller,30,0.42,1,238,E
207,208,206,D.A. Points,33,0.38,1,264,E
208,209,207,Jim Furyk,53,0.35,2,570,-0.500
