,Front_9_Lowest_Round_RANK THIS WEEK,Front_9_Lowest_Round_RANK LAST WEEK,Front_9_Lowest_Round_PLAYER NAME,Front_9_Lowest_Round_LOW RND
307,T259,T258,Doc Redman,33
308,T259,T258,John Rollins,33
309,T259,T258,Scottie Scheffler,33
310,T259,T258,Matthew Short,33
311,T259,T258,Zack Sucher,33
312,T259,T258,David Toms,33
313,T259,T258,Austen Truslow,33
314,T259,T258,Tyrone Van Aswegen,33
315,T259,T258,Kristoffer Ventura,33
316,T259,T258,Ryan Vermeer,33
317,T259,T258,Lee Westwood,33
318,T319,T316,Brad Adamonis,34
319,T319,T316,Dawson Armstrong,34
320,T319,T316,Adri Arnaus,34
321,T319,T316,Eric Axley,34
322,T319,T316,Paul Barjon,34
323,T319,T316,Alexander Björk,34
324,T319,T316,Michael Block,34
325,T319,T316,Hayden Buckley,34
326,T319,,Marc-Étienne Bussières,34
327,T319,T316,Rafael Campos,34
328,T319,T316,Juan Cayro Delgado,34
329,T319,,Albin Choi,34
330,T319,T425,Will Claxton,34
331,T319,T316,Chris Couch,34
332,T319,T316,Brian Davis,34
333,T319,,JC Deacon,34
334,T319,,Joseph Deraney,34
335,T319,T316,Bruce Doucett,34
336,T319,T316,Brett Drewitt,34
337,T319,T316,Eric Dugas,34
338,T319,T316,Derek Ernst,34
339,T319,T316,Lukas Euler,34
340,T319,T316,Ross Fisher,34
341,T319,T316,Martin Flores,34
342,T319,T316,Ryan Fox,34
343,T319,T316,"Ray Franz, Jr.",34
344,T319,T316,Retief Goosen,34
345,T319,T316,Nick Hardy,34
346,T319,T316,Sam Horsfield,34
347,T319,T316,Matt Hutchins,34
348,T319,T316,Yuta Ikeda,34
349,T319,T316,Trevor Immelman,34
350,T319,T316,Smylie Kaufman,34
351,T319,T316,Sihwan Kim,34
352,T319,,Jake Knapp,34
353,T319,T316,Mikko Korhonen,34
354,T319,T316,Rob Labritz,34
355,T319,T316,Bernhard Langer,34
356,T319,T316,Kim Leun-Kwang,34
357,T319,T316,Michael Lorenzo-Vera,34
358,T319,T316,Will MacKenzie,34
359,T319,T316,Dong Seop Maeng,34
360,T319,T316,Jake McLeod,34
361,T319,T316,Eamonn McLoughlin,34
362,T319,T316,Maverick McNealy,34
363,T319,T316,Cooper Musselman,34
364,T319,T425,Drew Nesbitt,34
365,T319,T316,Bryson Nimmer,34
366,T319,T316,Cole Nygren,34
367,T319,T316,Thorbjørn Olesen,34
368,T319,T316,Rob Oppenheim,34
369,T319,T316,Adrian Otaegui,34
370,T319,T316,David Pastore,34
371,T319,T316,Taylor Pendrith,34
372,T319,T316,Dicky Pride,34
373,T319,T316,Chad Ramey,34
374,T319,T316,Jason Schmuhl,34
375,T319,T316,Andy Sullivan,34
376,T319,T316,Julian Suri,34
377,T319,T316,Omar Uresti,34
378,T319,T316,Mike Weir,34
379,T319,T316,Charlie Wi,34
380,T381,,James Allenby,35
381,T381,T372,Mark Anderson,35
382,T381,T372,Todd Balkin,35
383,T381,T372,"Mike Ballo, Jr.",35
384,T381,T372,Blayne Barber,35
385,T381,T372,Alex Beach,35
386,T381,T372,Cameron Beckman,35
387,T381,T372,Rich Beem,35
388,T381,T372,Oliver Bekker,35
389,T381,T372,Charlie Beljan,35
390,T381,T372,Justin Bertsch,35
391,T381,T372,Akshay Bhatia,35
392,T381,T372,Devon Bling,35
393,T381,T372,Jorge Campillo,35
394,T381,T372,Minchel Choi,35
395,T381,T372,Keith Clearwater,35
396,T381,T372,Austin Connelly,35
397,T381,T372,Kevin Dougherty,35
398,T381,T372,Ken Duke,35
399,T381,T372,Edward Figueroa,35
400,T381,T372,Andrew Filbert,35
401,T381,T372,Tommy Gainey,35
402,T381,T372,Mathew Goggin,35
403,T381,T372,Berry Henson,35
404,T381,T372,Tim Herron,35
405,T381,T372,Viktor Hovland,35
406,T381,T372,Marty Jertson,35
407,T381,,Richard Jung,35
408,T381,T372,Jonathan Kaye,35
409,T381,,Richard Lee,35
410,T381,T372,Hyungjoon Lee,35
411,T381,T372,Tom Lewis,35
412,T381,T372,Sandy Lyle,35
413,T381,T372,Troy Matteson,35
414,T381,T372,Tyler McCumber,35
415,T381,T372,Jay McLuen,35
416,T381,T372,Spike McRoy,35
417,T381,T372,Matthew Millar,35
418,T381,T372,Mark Mulder,35
419,T381,T372,Kevin O'Connell,35
420,T381,T372,Timothy O'Neal,35
421,T381,T372,Andrea Pavan,35
422,T381,T372,Aaron Rai,35
423,T381,T372,Jonathan Randolph,35
424,T381,T372,JC Ritchie,35
425,T381,T372,Casey Russell,35
426,T381,T372,Julio Santos,35
427,T381,,Joey Savoie,35
428,T381,T372,Hiram Silfa,35
429,T381,T372,Chris Smith,35
430,T381,T372,Kevin Stadler,35
431,T381,T372,Brandon Stone,35
432,T381,T372,Justin Suh,35
433,T381,T372,Roland Thatcher,35
434,T381,T372,Tim Wilkinson,35
435,T381,T372,Bowen Xiao,35
436,T381,,Ryan Yip,35
437,T381,T372,Carl Yuan,35
438,T439,T425,Robert Allenby,36
439,T439,T425,Max Alverio,36
440,T439,,Matthew Anderson,36
441,T439,T425,Mark Anguiano,36
442,T439,T425,Ashun Wu,36
443,T439,T425,John Augenstein,36
444,T439,T425,Daniel Balin,36
445,T439,T425,"Rich Berberian, Jr.",36
446,T439,T425,Zac Blair,36
447,T439,T425,Adam Bland,36
448,T439,T425,Ángel Cabrera,36
449,T439,T425,Jason Caron,36
450,T439,T425,Ho Sung Choi,36
451,T439,,Chris Crisologo,36
452,T439,T425,John Daly,36
453,T439,T425,Stuart Deane,36
454,T439,,Thomas DeMarco,36
455,T439,T425,James Driscoll,36
456,T439,T425,Jacob Eggers,36
457,T439,,Michael Gligic,36
458,T439,T425,Tyler Hall,36
459,T439,T425,Todd Hamilton,36
460,T439,T425,Hunter Hamrick,36
461,T439,T425,Nick Heinen,36
462,T439,T425,Derek Lamely,36
463,T439,T425,WC Liang,36
464,T439,T425,Frank Lickliter II,36
465,T439,T425,Shaun Norris,36
466,T439,T425,Preston Otte,36
467,T439,T425,Rhadames Pena,36
468,T439,T425,Rod Perry,36
469,T439,T425,Carl Pettersson,36
470,T439,T425,Jovan Rebula,36
471,T439,T425,Tony Romo,36
472,T439,T425,Ryan Ruffels,36
473,T439,T425,Jared Sawada,36
474,T439,T425,Jason Scrivener,36
475,T439,T425,Nathan Stamey,36
476,T439,T425,Mark Wilson,36
477,T439,T425,Zach Zaback,36
478,T439,T425,Xinjun Zhang,36
479,T480,T464,Kris Blanks,37
480,T480,T464,Erik Compton,37
481,T480,T464,Ben Cook,37
482,T480,T464,Jeronimo Esteve,37
483,T480,T464,Wilson Furr,37
484,T480,T464,Will Grimmer,37
485,T480,T464,Blair Hamilton,37
486,T480,T464,Alexander Hicks,37
487,T480,T464,Theo Humphrey,37
488,T480,T464,Brendan Jones,37
489,T480,T464,Peter Jones,37
490,T480,T464,Yuwa Kosaihira,37
491,T480,T464,Yanwei Liu,37
492,T480,T464,Shaun Micheel,37
493,T480,T464,Larry Mize,37
494,T480,T464,Jason Norris,37
495,T480,T464,Garrett Osborn,37
496,T480,T464,Kenny Pigman,37
497,T480,T464,Ted Purdy,37
498,T480,T464,Kyle Ramey,37
499,T480,T464,George Riley,37
500,T480,T464,Brett Rumford,37
501,T480,T464,Kyle Sanders,37
502,T480,T464,Steve Scott,37
503,T480,T464,Heath Slocum,37
504,T480,T464,Sebastián Vázquez,37
505,T480,T464,Tucker Wadkins,37
506,T480,,Josh Whalen,37
507,T480,T464,Ian Woosnam,37
508,T509,,Michael Blair,38
509,T509,T492,Craig Hocknull,38
510,T509,T492,Michael Hopper,38
511,T509,T492,Brian Mackey,38
512,T509,T492,John O'Leary,38
513,T509,T492,José María Olazábal,38
514,T509,T492,Hyun-woo Ryu,38
515,T509,T492,Jeff Schmid,38
516,T509,T492,Cory Schneider,38
517,T509,T492,Marc Turnesa,38
518,T519,T501,Robert Gamez,39
519,T519,T501,Peter Jung,39
520,T521,T503,Rufus Brijalba,40
521,T521,T503,Steve Jones,40
522,523,505,Neal Lancaster,41
