,Top_5_Final_Round_Performance_RANK THIS WEEK,Top_5_Final_Round_Performance_RANK LAST WEEK,Top_5_Final_Round_Performance_PLAYER NAME,Top_5_Final_Round_Performance_EVENTS,Top_5_Final_Round_Performance_% TIMES IMPROVED,Top_5_Final_Round_Performance_# OF TIMES IMPROVED
43,T1,T1,Chris Stroud,19,100.0,1.0
44,T1,T1,Hudson Swafford,20,100.0,1.0
45,T1,T1,Justin Thomas,13,100.0,2.0
46,T1,T1,Martin Trainer,19,100.0,1.0
47,T1,T1,Kevin Tway,19,100.0,1.0
48,T1,T1,Johnson Wagner,14,100.0,1.0
49,T1,T1,Richy Werenski,20,100.0,1.0
50,T1,T1,Gary Woodland,17,100.0,3.0
51,T1,T1,Tiger Woods,8,100.0,1.0
52,53,53,Scott Piercy,19,75.0,3.0
53,54,T54,Rory McIlroy,13,71.4,5.0
54,T55,T54,Jon Rahm,14,66.7,2.0
55,T55,T54,Rory Sabbatini,19,66.7,2.0
56,T55,T54,Adam Scott,12,66.7,2.0
57,58,58,Patrick Cantlay,14,60.0,3.0
58,T59,T59,Aaron Baddeley,15,50.0,2.0
59,T59,T59,Matt Every,12,50.0,1.0
60,T59,T59,Tommy Fleetwood,11,50.0,1.0
61,T59,T59,Brian Gay,22,50.0,1.0
62,T59,T59,Branden Grace,18,50.0,1.0
63,T59,T1,Adam Hadwin,18,50.0,1.0
64,T59,T59,Charles Howell III,19,50.0,1.0
65,T59,T59,Mackenzie Hughes,19,50.0,1.0
66,T59,T59,Sungjae Im,26,50.0,1.0
67,T59,T59,Dustin Johnson,12,50.0,2.0
68,T59,T59,Keith Mitchell,19,50.0,1.0
69,T59,T59,Chez Reavie,19,50.0,1.0
70,T71,T70,Cameron Champ,19,33.3,1.0
71,T71,T70,Bryson DeChambeau,13,33.3,1.0
72,T73,T72,Byeong Hun An,15,0.0,
73,T73,T72,Abraham Ancer,20,0.0,
74,T73,T72,Dominic Bozzelli,17,0.0,
75,T73,T72,Scott Brown,21,0.0,
76,T73,T72,Wyndham Clark,20,0.0,
77,T73,T72,Jason Day,14,0.0,
78,T73,T72,Jim Furyk,16,0.0,
79,T73,T72,Joey Garber,15,0.0,
80,T73,T72,Sergio Garcia,11,0.0,
81,T73,T72,Lucas Glover,17,0.0,
82,T73,T72,Emiliano Grillo,17,0.0,
83,T73,T72,Bill Haas,18,0.0,
84,T73,T72,Justin Harding,9,0.0,
85,T73,T72,Whee Kim,21,0.0,
86,T73,T72,Kevin Kisner,17,0.0,
87,T73,T72,Martin Laird,18,0.0,
88,T73,T72,Nate Lashley,13,0.0,
89,T73,T72,Kyoung-Hoon Lee,22,0.0,
90,T73,T72,Luke List,16,0.0,
91,T73,T72,Peter Malnati,19,0.0,
92,T73,T72,Hideki Matsuyama,15,0.0,
93,T73,T72,Sebastián Muñoz,18,0.0,
94,T73,T72,Trey Mullinax,20,0.0,
95,T73,T72,Pat Perez,16,0.0,
96,T73,999,Martin Piller,10,0.0,
97,T73,T72,"Ted Potter, Jr.",18,0.0,
98,T73,T72,Ian Poulter,13,0.0,
99,T73,T72,Patrick Reed,15,0.0,
100,T73,T72,Adam Schenk,24,0.0,
101,T73,T72,Cameron Smith,16,0.0,
102,T73,T72,Jordan Spieth,16,0.0,
103,T73,T72,Scott Stallings,20,0.0,
104,T73,T72,Shawn Stefani,19,0.0,
105,T73,T72,Sepp Straka,16,0.0,
106,T73,T72,Brian Stuard,22,0.0,
107,T73,T72,Michael Thompson,17,0.0,
108,T73,T72,D.J. Trahan,11,0.0,
109,T73,T72,Peter Uihlein,22,0.0,
110,T73,T72,Harold Varner III,20,0.0,
111,T73,T72,Jhonattan Vegas,18,0.0,
112,T73,T72,Matt Wallace,9,0.0,
113,T73,T72,Aaron Wise,16,0.0,
114,T73,T72,Chase Wright,19,0.0,
