,Victory_Leaders_RANK THIS WEEK,Victory_Leaders_RANK LAST WEEK,Victory_Leaders_PLAYER NAME,Victory_Leaders_EVENTS,Victory_Leaders_VICTORIES
331,T31,T31,Peter Malnati,19,
332,T31,T31,Stuart Manley,0,
333,T31,T31,Steve Marino,4,
334,T31,T31,Ben Martin,1,
335,T31,T31,Hideki Matsuyama,15,
336,T31,T31,Troy Matteson,2,
337,T31,T31,Denny McCarthy,20,
338,T31,T31,Tyler McCumber,1,
339,T31,T31,Chip McDaniel,3,
340,T31,T31,Parker McLachlin,5,
341,T31,T31,Jake McLeod,1,
342,T31,T31,Eamonn McLoughlin,1,
343,T31,T31,Jay McLuen,1,
344,T31,T31,Maverick McNealy,2,
345,T31,T31,George McNeill,6,
346,T31,T31,Spike McRoy,1,
347,T31,T31,Prom Meesawat,0,
348,T31,T31,John Merrick,3,
349,T31,T31,Troy Merritt,12,
350,T31,T31,Dylan Meyer,3,
351,T31,T31,Shaun Micheel,1,
352,T31,T31,Matthew Millar,1,
353,T31,T31,Larry Mize,1,
354,T31,T31,Ryan Moore,16,
355,T31,,Collin Morikawa,1,
356,T31,T31,Blake Morris,1,
357,T31,T31,Sebastián Muñoz,18,
358,T31,T31,Mark Mulder,1,
359,T31,T31,Trey Mullinax,20,
360,T31,T31,Doyeob Mun,1,
361,T31,T31,Grayson Murray,14,
362,T31,T31,Cooper Musselman,1,
363,T31,T31,Joseph Naffah,0,
364,T31,T31,Drew Nesbitt,2,
365,T31,T31,Joaquin Niemann,20,
366,T31,T31,Bryson Nimmer,1,
367,T31,T31,Alex Noren,14,
368,T31,T31,Henrik Norlander,1,
369,T31,T31,Jason Norris,1,
370,T31,T31,Shaun Norris,2,
371,T31,T31,Cole Nygren,1,
372,T31,T31,Kevin O'Connell,1,
373,T31,T31,Sean O'Hair,9,
374,T31,T31,John O'Leary,1,
375,T31,T31,Timothy O'Neal,1,
376,T31,T31,Derek Oland,1,
377,T31,T31,José María Olazábal,1,
378,T31,T31,Thorbjørn Olesen,8,
379,T31,T31,Louis Oosthuizen,12,
380,T31,T31,Rob Oppenheim,1,
381,T31,T31,Carlos Ortiz,21,
382,T31,T31,Alvaro Ortiz,4,
383,T31,T31,Garrett Osborn,1,
384,T31,T31,Adrian Otaegui,3,
385,T31,T31,Preston Otte,1,
386,T31,T31,Rod Pampling,16,
387,T31,T31,Renato Paratore,0,
388,T31,T31,Sanghyun Park,4,
389,T31,T31,David Pastore,2,
390,T31,T31,Andrea Pavan,1,
391,T31,T31,Rhadames Pena,1,
392,T31,T31,Taylor Pendrith,1,
393,T31,T31,Eddie Pepperell,7,
394,T31,T31,Pat Perez,16,
395,T31,T31,Kenny Perry,8,
396,T31,T31,Rod Perry,3,
397,T31,T31,Carl Pettersson,1,
398,T31,T31,Scott Piercy,19,
399,T31,T31,Thomas Pieters,4,
400,T31,T31,Kenny Pigman,1,
401,T31,T31,Martin Piller,10,
402,T31,T31,D.A. Points,13,
403,T31,T31,J.T. Poston,22,
404,T31,T31,"Ted Potter, Jr.",18,
405,T31,T31,Ian Poulter,13,
406,T31,T31,Seamus Power,21,
407,T31,T31,Dicky Pride,2,
408,T31,T31,Alex Prugh,18,
409,T31,T31,Ted Purdy,1,
410,T31,T31,Tom Purtzer,1,
411,T31,T31,Andrew Putnam,17,
412,T31,T31,Aaron Rai,1,
413,T31,T31,Chad Ramey,1,
414,T31,T31,Kyle Ramey,1,
415,T31,T31,Jonathan Randolph,1,
416,T31,T31,Chez Reavie,19,
417,T31,T31,Jovan Rebula,2,
418,T31,T31,Doc Redman,1,
419,T31,T31,Patrick Reed,15,
420,T31,T31,Seth Reeves,18,
421,T31,T31,Charles Reiter,1,
422,T31,T31,George Riley,1,
423,T31,T31,Davis Riley,1,
424,T31,T31,JC Ritchie,1,
425,T31,T31,Wes Roach,14,
426,T31,T31,Patrick Rodgers,14,
427,T31,T31,José de Jesús Rodríguez,17,
428,T31,T31,John Rollins,3,
429,T31,T31,Andres Romero,6,
430,T31,T31,Tony Romo,2,
431,T31,T31,Ryan Ruffels,1,
432,T31,T31,Brett Rumford,1,
433,T31,T31,Casey Russell,1,
434,T31,T31,Sam Ryder,16,
435,T31,T31,Hyun-woo Ryu,1,
436,T31,T31,Rory Sabbatini,19,
437,T31,T31,Kyle Sanders,1,
438,T31,T31,Julio Santos,1,
439,T31,T31,Sam Saunders,18,
440,T31,,Joey Savoie,1,
441,T31,T31,Jared Sawada,1,
442,T31,T31,Scottie Scheffler,3,
443,T31,T31,Adam Schenk,24,
444,T31,T31,Jeff Schmid,1,
445,T31,T31,Jason Schmuhl,1,
446,T31,T31,Cory Schneider,1,
447,T31,T31,Brady Schnell,14,
448,T31,T31,Ollie Schniederjans,22,
449,T31,T31,Charl Schwartzel,13,
450,T31,T31,Steve Scott,1,
451,T31,T31,Adam Scott,12,
452,T31,T31,Jason Scrivener,1,
453,T31,T31,John Senden,13,
454,T31,T31,Shubhankar Sharma,6,
455,T31,T31,Matthew Short,1,
456,T31,T31,Hiram Silfa,2,
457,T31,T31,Ben Silverman,17,
458,T31,T31,Webb Simpson,14,
459,T31,T31,Vijay Singh,6,
460,T31,T31,Roger Sloan,20,
461,T31,T31,Heath Slocum,2,
462,T31,T31,Chris Smith,1,
463,T31,T31,Cameron Smith,16,
464,T31,T31,Brandt Snedeker,18,
465,T31,T31,J.J. Spaun,20,
466,T31,T31,Jordan Spieth,16,
467,T31,T31,Kevin Stadler,3,
468,T31,T31,Scott Stallings,20,
469,T31,T31,Nathan Stamey,1,
470,T31,T31,Kyle Stanley,18,
471,T31,T31,Brendan Steele,17,
472,T31,T31,Shawn Stefani,19,
473,T31,T31,Henrik Stenson,12,
474,T31,T31,Richard Sterne,2,
475,T31,T31,Brandon Stone,2,
476,T31,T31,Sepp Straka,16,
477,T31,T31,Robert Streb,21,
478,T31,T31,Kevin Streelman,20,
479,T31,T31,Steve Stricker,7,
480,T31,T31,Chris Stroud,19,
481,T31,T31,Brian Stuard,22,
482,T31,T31,Zack Sucher,3,
483,T31,T31,Justin Suh,2,
484,T31,T31,Andy Sullivan,1,
485,T31,T31,Julian Suri,2,
486,T31,T31,Adam Svensson,18,
487,T31,T31,Hudson Swafford,20,
488,T31,T31,Hideto Tanihara,0,
489,T31,T31,Vaughn Taylor,21,
490,T31,T31,Nick Taylor,20,
491,T31,T31,Josh Teater,17,
492,T31,T31,Roland Thatcher,2,
493,T31,T31,Justin Thomas,13,
494,T31,T31,Chris Thompson,12,
495,T31,T31,Michael Thompson,17,
496,T31,T31,Braden Thornberry,2,
497,T31,T31,Brendon Todd,7,
498,T31,T31,David Toms,1,
499,T31,T31,D.J. Trahan,11,
500,T31,T31,,0,
501,T31,T31,Cameron Tringale,15,
502,T31,T31,Austen Truslow,2,
503,T31,T31,Marc Turnesa,1,
504,T31,T31,Peter Uihlein,22,
505,T31,T31,Omar Uresti,2,
506,T31,T31,Tyrone Van Aswegen,11,
507,T31,T31,Erik van Rooyen,4,
508,T31,T31,Harold Varner III,20,
509,T31,T31,Sebastián Vázquez,1,
510,T31,T31,Jhonattan Vegas,18,
511,T31,T31,Kristoffer Ventura,3,
512,T31,T31,Ryan Vermeer,4,
513,T31,T31,Scott Vincent,2,
514,T31,T31,Tucker Wadkins,1,
515,T31,T31,Johnson Wagner,14,
516,T31,T31,Jimmy Walker,17,
517,T31,T31,Matt Wallace,9,
518,T31,T31,Nick Watney,20,
519,T31,T31,Bubba Watson,13,
520,T31,T31,Boo Weekley,5,
521,T31,T31,Mike Weir,4,
522,T31,T31,Richy Werenski,20,
523,T31,T31,Lee Westwood,3,
524,T31,,Josh Whalen,1,
525,T31,T31,Charlie Wi,1,
526,T31,T31,Tim Wilkinson,1,
527,T31,T31,Danny Willett,15,
528,T31,T31,Mark Wilson,1,
529,T31,T31,Aaron Wise,16,
530,T31,T31,Matthew Wolff,1,
531,T31,T31,Chris Wood,1,
532,T31,T31,Gary Woodland,17,
533,T31,T31,Ian Woosnam,1,
534,T31,T31,Chase Wright,19,
535,T31,T31,Bowen Xiao,1,
536,T31,T31,Norman Xiong,3,
537,T31,T31,Y.E. Yang,2,
538,T31,,Ryan Yip,1,
539,T31,T31,Carl Yuan,1,
540,T31,T31,Zach Zaback,1,
541,T31,T31,Xinjun Zhang,1,
